INFO 2026-05-03 15:31:26,602 autoreload 22860 24620 Watching for file changes with StatReloader
INFO 2026-05-03 17:26:16,402 log 19624 6768 "GET /admin/login/ HTTP/1.1" 302 0
INFO 2026-05-03 17:26:16,658 log 19624 23860 "GET /api/v1/auth/profile/ HTTP/1.1" 200 219
INFO 2026-05-03 17:27:02,676 log 19624 23860 "GET /api/v1/auth/profile/ HTTP/1.1" 200 219
INFO 2026-05-03 17:27:02,719 log 19624 23860 "GET /api/v1/auth/profile/ HTTP/1.1" 200 219
INFO 2026-05-03 17:27:02,899 log 19624 23860 "GET /api/v1/auth/profile/ HTTP/1.1" 200 219
INFO 2026-05-03 17:27:02,918 log 19624 23860 "GET /api/v1/auth/profile/ HTTP/1.1" 200 219
INFO 2026-05-03 17:27:03,904 log 19624 17564 "GET /api/v1/auth/profile/ HTTP/1.1" 200 219
INFO 2026-05-03 17:27:03,926 log 19624 17564 "GET /api/v1/auth/profile/ HTTP/1.1" 200 219
INFO 2026-05-03 17:27:15,915 autoreload 19624 5216 C:\Users\USER\Documents\proyecto final\backend\config\settings.py changed, reloading.
INFO 2026-05-03 17:27:15,906 autoreload 22860 24620 C:\Users\USER\Documents\proyecto final\backend\config\settings.py changed, reloading.
INFO 2026-05-03 17:27:18,687 autoreload 25712 10544 Watching for file changes with StatReloader
INFO 2026-05-03 17:27:18,688 autoreload 3300 17992 Watching for file changes with StatReloader
INFO 2026-05-03 17:37:48,589 log 25712 8948 "OPTIONS /api/v1/auth/login/ HTTP/1.1" 200 0
INFO 2026-05-03 17:37:50,394 log 25712 21340 "POST /api/v1/auth/login/ HTTP/1.1" 200 505
INFO 2026-05-03 17:37:50,421 log 25712 8948 "GET /api/v1/auth/profile/ HTTP/1.1" 200 219
INFO 2026-05-03 17:37:50,571 log 25712 21340 "GET /admin/ HTTP/1.1" 200 56024
INFO 2026-05-03 17:37:50,656 log 25712 21340 "GET /static/admin/css/base.css HTTP/1.1" 304 0
INFO 2026-05-03 17:37:50,658 log 25712 13252 "GET /static/admin/css/dark_mode.css HTTP/1.1" 304 0
INFO 2026-05-03 17:37:50,663 log 25712 21340 "GET /static/admin/css/nav_sidebar.css HTTP/1.1" 304 0
INFO 2026-05-03 17:37:50,664 log 25712 13252 "GET /static/admin/css/flemy-admin.css?v=2.0 HTTP/1.1" 304 0
INFO 2026-05-03 17:37:50,670 log 25712 21340 "GET /static/admin/css/responsive.css HTTP/1.1" 304 0
INFO 2026-05-03 17:37:50,672 log 25712 13252 "GET /static/admin/js/theme.js HTTP/1.1" 304 0
INFO 2026-05-03 17:37:50,680 log 25712 13252 "GET /static/admin/js/nav_sidebar.js HTTP/1.1" 304 0
WARNING 2026-05-03 17:37:50,841 log 25712 13252 Not Found: /favicon.ico
WARNING 2026-05-03 17:37:50,843 log 25712 13252 "GET /favicon.ico HTTP/1.1" 404 3760
INFO 2026-05-03 17:38:14,752 log 25712 13252 "POST /admin/logout/ HTTP/1.1" 200 5105
INFO 2026-05-03 17:38:18,079 log 25712 13252 "GET /admin/ HTTP/1.1" 302 0
INFO 2026-05-03 17:38:18,083 log 25712 13252 "GET /admin/login/?next=/admin/ HTTP/1.1" 302 0
INFO 2026-05-03 17:38:18,416 log 25712 8948 "GET /api/v1/auth/profile/ HTTP/1.1" 200 219
WARNING 2026-05-03 17:38:28,349 log 25712 13252 Unauthorized: /api/v1/auth/login/
WARNING 2026-05-03 17:38:28,350 log 25712 13252 "POST /api/v1/auth/login/ HTTP/1.1" 401 63
INFO 2026-05-03 17:39:13,803 log 25712 8948 "OPTIONS /api/v1/auth/register/ HTTP/1.1" 200 0
INFO 2026-05-03 17:39:14,541 log 25712 8948 "POST /api/v1/auth/register/ HTTP/1.1" 201 112
INFO 2026-05-03 17:39:25,491 log 25712 13252 "POST /api/v1/auth/login/ HTTP/1.1" 200 506
INFO 2026-05-03 17:39:25,514 log 25712 8948 "GET /api/v1/auth/profile/ HTTP/1.1" 200 244
INFO 2026-05-03 17:39:25,546 log 25712 8948 "OPTIONS /api/v1/gamification/dashboard/ HTTP/1.1" 200 0
INFO 2026-05-03 17:39:25,574 log 25712 8948 "GET /api/v1/gamification/dashboard/ HTTP/1.1" 200 493
INFO 2026-05-03 17:39:25,620 log 25712 8948 "OPTIONS /api/v1/auth/notifications/ HTTP/1.1" 200 0
INFO 2026-05-03 17:39:25,640 log 25712 8948 "GET /api/v1/auth/notifications/ HTTP/1.1" 200 252
INFO 2026-05-03 17:39:29,424 log 25712 8948 "OPTIONS /api/v1/gamification/progress/ HTTP/1.1" 200 0
INFO 2026-05-03 17:39:29,446 log 25712 8948 "GET /api/v1/gamification/progress/ HTTP/1.1" 200 661
INFO 2026-05-03 17:39:29,478 log 25712 8948 "GET /api/v1/auth/notifications/ HTTP/1.1" 200 252
INFO 2026-05-03 17:39:31,314 log 25712 15792 "OPTIONS /api/v1/courses/catalog/ HTTP/1.1" 200 0
INFO 2026-05-03 17:39:31,333 log 25712 20260 "OPTIONS /api/v1/auth/profile/ HTTP/1.1" 200 0
INFO 2026-05-03 17:39:31,371 log 25712 8948 "GET /api/v1/auth/notifications/ HTTP/1.1" 200 252
INFO 2026-05-03 17:39:31,374 log 25712 15792 "GET /api/v1/courses/catalog/ HTTP/1.1" 200 437
INFO 2026-05-03 17:39:31,385 log 25712 20260 "GET /api/v1/auth/profile/ HTTP/1.1" 200 244
INFO 2026-05-03 17:39:39,723 log 25712 8948 "OPTIONS /api/v1/auth/notifications/5/read/ HTTP/1.1" 200 0
INFO 2026-05-03 17:39:39,753 log 25712 8948 "PATCH /api/v1/auth/notifications/5/read/ HTTP/1.1" 200 20
INFO 2026-05-03 17:39:39,759 log 25712 8948 "OPTIONS /api/v1/courses/catalog/python-desde-cero/ HTTP/1.1" 200 0
WARNING 2026-05-03 17:39:39,777 log 25712 8948 Not Found: /api/v1/courses/catalog/python-desde-cero/
WARNING 2026-05-03 17:39:39,778 log 25712 8948 "GET /api/v1/courses/catalog/python-desde-cero/ HTTP/1.1" 404 13425
INFO 2026-05-03 17:39:43,368 log 25712 8948 "GET /api/v1/auth/notifications/ HTTP/1.1" 200 251
INFO 2026-05-03 17:39:43,369 log 25712 15792 "GET /api/v1/auth/profile/ HTTP/1.1" 200 244
INFO 2026-05-03 17:39:43,375 log 25712 20260 "GET /api/v1/courses/catalog/ HTTP/1.1" 200 437
INFO 2026-05-03 17:40:39,063 autoreload 16432 2520 Watching for file changes with StatReloader
INFO 2026-05-03 17:40:56,282 log 25712 27284 "OPTIONS /api/v1/courses/catalog/ HTTP/1.1" 200 0
INFO 2026-05-03 17:40:56,289 log 25712 18716 "OPTIONS /api/v1/auth/profile/ HTTP/1.1" 200 0
INFO 2026-05-03 17:40:56,315 log 25712 18716 "GET /api/v1/auth/profile/ HTTP/1.1" 200 219
INFO 2026-05-03 17:40:56,316 log 25712 27284 "GET /api/v1/courses/catalog/ HTTP/1.1" 200 437
INFO 2026-05-03 17:40:56,605 log 25712 20856 "OPTIONS /api/v1/auth/notifications/ HTTP/1.1" 200 0
INFO 2026-05-03 17:40:56,621 log 25712 20856 "GET /api/v1/auth/notifications/ HTTP/1.1" 200 509
INFO 2026-05-03 17:41:52,747 log 25712 18716 "GET /api/v1/auth/profile/ HTTP/1.1" 200 219
INFO 2026-05-03 17:41:52,749 log 25712 27284 "GET /api/v1/courses/catalog/ HTTP/1.1" 200 437
